PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200712261296,2,1,0,0,176 Randall St,6655030,BP APPROVED,2014-02-11
N200804028581,2,1,0,0,564 Chenery St,6727016,BP Filed,2008-04-02
N200810013092,2,2,0,0,1794 San Jose Av,6793011,BP Filed,2008-10-01
N200808290369,6,6,0,0,1415 Ocean Av,6941063,BP Filed,2008-08-29
N200806114219,2,1,0,0,1173 Plymouth Av,6942004,BP Filed,2008-06-11
N200809091137,4,4,0,0,285 Ocean Av,6951021,PL Approved,2009-11-18
N200703065518,2,1,0,0,715 Holloway Av,6986040,BP Filed,2007-03-06
N200311240936,1,1,0,0,652 Lakeview Av,7016023,CONSTRUCTION,2013-06-24
N200804159728,6,1,0,0,5498 Mission St,7044A006,PL Filed,2009-11-18
N200509072195,2,2,0,0,156 Broad St,7107019,CONSTRUCTION,2014-01-30
N201209119428,210,210,0,0,800 Brotherhood Way,7331003,CONSTRUCTION,2012-09-11
N201107261089,3,3,0,0,70 Gold Mine Dr,7520033,BP Filed,2011-07-26
N200706154066,1,1,0,0,2395 Diamond St,7551033,BP Filed,2007-06-15
N201012036075,150,150,0,0,1000 Fourth Street (block 13 East),8711014,CONSTRUCTION,2014-05-09
N200904065668,3,1,0,0,355 Capp St,3590056,BP Filed,2009-04-06
N201009271690,8,4,0,0,1338 Filbert St,524031,BP ISSUED,2011-01-31
N200906251343,1,1,0,0,506 Oak St,829007,BP Filed,2009-06-25
N200905208827,3,2,0,0,251 Arkansas St,4004024,CONSTRUCTION,2014-05-29
N200906261414,2,1,0,0,279 Monterey Bl,6771032,BP ISSUED,2014-01-16
N201207316121,2,1,0,0,77 Farallones Street,7108033,CONSTRUCTION,2014-01-03
N200908144854,2,1,0,0,2727 Gough St,529002,BP Filed,2009-08-14
N200902182284,3,1,0,0,835 Lombard St,73020,BP Filed,2009-02-18
N200712200979,2,1,0,0,7 Seymour St,1154023,CONSTRUCTION,2010-10-12
N200901150303,3,1,0,0,338 Carl St,1265009,CONSTRUCTION,2011-06-30
N200903174286,2,1,0,0,212 23rd Av,1411022,CONSTRUCTION,2011-12-21
N200902122009,2,1,0,0,227 Noriega St,2046040A,BP Filed,2009-02-12
N200902041380,3,1,0,0,161 San Carlos St,3589026,BP ISSUED,2009-11-23
N200902061524,2,1,0,0,421 Alvarado St,3625040,BP Filed,2009-02-06
N200904106077,2,2,0,0,1966 Great Hy,2086007A,BP Filed,2009-04-10
N201211284953,28,28,0,0,One Capitol Av,7148040,CONSTRUCTION,2013-09-17
N200908034026,2,1,0,0,445 Waller St,867033,BP Filed,2009-08-03
N200908185077,5,4,0,0,598 Belvedere St,1279048,BP Filed,2009-08-18
N200909146733,1,1,0,0,854 Folsom St,3733020A,BP ISSUED,2010-06-14
N200907203013,3,1,0,0,1533 Pacific Av,596031,BP Filed,2009-07-20
N201007015845,2,1,0,0,500 Capp St,3610032,BP ISSUED,2012-02-17
N200909237457,1,1,0,0,128 Elsie St,5618011,BP APPROVED,2011-03-03
N200908033985,1,1,0,0,194 Sweeny St,5858024,BP Filed,2009-08-03
N201004069730,3,1,0,0,2724 San Bruno Av,6048002,BP ISSUED,2014-02-19
N200907072084,1,1,0,0,1123 Girard St,6173005,BP REINSTATED,2014-01-14
N200906160568,2,1,0,0,60 Fountain St,6501010,BP Filed,2009-06-16
N201103232716,2,1,0,0,977 North Point St,453011,BP Filed,2011-03-23
N201009241614,1,1,0,0,287 11th Av,1422016,BP ISSUED,2011-07-18
N200911231869,2,1,0,0,446 33rd Av,1464014,CONSTRUCTION,2013-04-17
N200911302251,3,1,0,0,483 35th Av,1467020,BP Filed,2009-11-30
N200912243860,1,1,0,0,721 Clementina St,3729039,BP Filed,2009-12-24
N201007297765,21,21,0,0,2353 Lombard St,512025,BP Filed,2010-07-29
N200912304034,2,2,0,0,447 Linden St,818048,CONSTRUCTION,2014-10-10
N200911191706,2,1,0,0,2645 Balboa St,1617032B,BP REINSTATED,2012-05-30
N201011305795,9,9,0,0,80 Julian Av,3547027,BP ISSUED,2011-10-27
N201001074297,2,1,0,0,1766 Oakdale Av,5312018,CONSTRUCTION,2014-06-18
N200912314052,2,2,0,0,56 Peralta Av,5512029,CONSTRUCTION,2014-03-21
N200912314050,2,2,0,0,62 Peralta Av,5512031,CONSTRUCTION,2014-03-21
N201004261017,2,1,0,0,1710 Oakdale Av,5312049,BP Filed,2010-04-26
N201006043843,3,3,0,0,141 Albion St,3568068,CONSTRUCTION,2013-06-27
N201005172557,7,7,0,0,1945 Hyde St,123002,CONSTRUCTION,2014-06-25
N201209119424,11,11,0,0,700 Brotherhood Wy,7332005,CONSTRUCTION,2014-06-25
N201207104487,2,1,0,0,605 Kearny St,226007,CONSTRUCTION,2012-08-17
N201208298556,2,1,0,0,31 Uranus Tr,2654031,BP ISSUED,2014-01-06
N201208026449,3,1,0,0,80 Sycamore St,3576076,BP Filed,2012-08-02
N201303202580,1,1,0,0,2 Flood Av,6774012,BP REINSTATED,2014-06-13
N201303041387,4,4,0,0,270 Capitol Av,7113022,BP ISSUED,2014-04-17
N201302281136,1,1,0,0,477 Eucalyptus Dr,7295018,BP Filed,2013-02-28
N201304225124,2,1,0,0,81 Glover St,151029,BP Filed,2013-04-22
